name ,,SITE_NAME (MS names),Licence Site ID (SEPA site name),Site ID ,Remarks,LAT,LONG,Nat Grid,Year of highest production DURING APRIL and MAY ,CAR licensed peak biomass,biomass 1st May of 1st year of production,biomass 1st May of 2nd year of production,Operator,Production cycle regularity of cycle timing ,Model now (GO),Map but do not model (NOGO) includes farms not used for ten years,Map but model in second phase (WAIT),Production in 3 years to 2021,Licence but never stocked,Any production more than 3 years ago but less than ten years (to 2021)?,01/01/2002,02/01/2002,02/02/2002,03/01/2002,03/02/2002,03/03/2002,04/01/2002,04/02/2002,05/01/2002,05/02/2002,06/01/2002,06/02/2002,07/01/2002,07/02/2002,08/01/2002,08/02/2002,08/03/2002,09/01/2002,09/02/2002,09/03/2002,10/01/2002,10/02/2002,11/01/2002,11/02/2002,11/03/2002,12/01/2002,12/02/2002,12/03/2002,01/01/2003,01/02/2003,01/03/2003,01/09/2003,02/01/2003,02/02/2003,02/03/2003,03/01/2003,03/02/2003,03/03/2003,04/01/2003,04/03/2003,05/01/2003,05/03/2003,06/01/2003,06/03/2003,06/09/2003,07/01/2003,07/03/2003,07/09/2003,08/01/2003,08/03/2003,09/01/2003,09/03/2003,10/01/2003,10/03/2003,10/09/2003,11/01/2003,11/03/2003,12/01/2003,12/03/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,02/01/2004,02/04/2004,03/01/2004,03/03/2004,03/04/2004,04/01/2004,04/04/2004,05/01/2004,06/01/2004,07/01/2004,08/01/2004,09/01/2004,10/01/2004,11/01/2004,12/01/2004,01/01/2005,02/01/2005,03/01/2005,04/01/2005,05/01/2005,06/01/2005,07/01/2005,08/01/2005,08/10/2005,09/01/2005,10/01/2005,11/01/2005,12/01/2005,01/01/2006,02/01/2006,02/10/2006,03/01/2006,04/01/2006,05/01/2006,06/01/2006,07/01/2006,08/01/2006,09/01/2006,09/06/2006,10/01/2006,11/01/2006,12/01/2006,01/01/2007,02/01/2007,03/01/2007,04/01/2007,05/01/2007,06/01/2007,07/01/2007,08/01/2007,09/01/2007,10/01/2007,11/01/2007,12/01/2007,01/01/2008,02/01/2008,03/01/2008,04/01/2008,05/01/2008,06/01/2008,07/01/2008,08/01/2008,09/01/2008,10/01/2008,10/09/2008,11/01/2008,12/01/2008,01/01/2009,02/01/2009,03/01/2009,04/01/2009,05/01/2009,06/01/2009,07/01/2009,08/01/2009,09/01/2009,10/01/2009,11/01/2009,12/01/2009,01/01/2010,01/10/2010,02/01/2010,03/01/2010,04/01/2010,05/01/2010,06/01/2010,07/01/2010,08/01/2010,09/01/2010,10/01/2010,11/01/2010,11/10/2010,12/01/2010,12/10/2010,01/01/2011,02/01/2011,03/01/2011,04/01/2011,05/01/2011,06/01/2011,07/01/2011,08/01/2011,09/01/2011,10/01/2011,11/01/2011,12/01/2011,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021
Duich,,Loch Duich,DUI1,FS0248,,57.24991,-5.49423,,EVEN,2500,318,2044,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,881,958,nan,1090,nan,nan,1192,nan,1193,nan,1247,nan,1250,nan,1248,nan,nan,1249,nan,nan,1249,nan,1200,nan,nan,772,nan,nan,356,nan,nan,nan,nan,nan,nan,16,nan,nan,38,nan,55,nan,86,nan,nan,130,nan,nan,205,nan,324,nan,499,nan,nan,560,nan,811,nan,903,nan,nan,nan,992,nan,1167,nan,nan,1253,nan,1287,1153,1114,1141,1226,1152,923,652,nan,nan,nan,71,69,145,192,307,nan,517,762,650,709,563,653,nan,706,833,956,1148,1196,1237,1302,nan,1128,1124,1265,622,400,27,101,155,234,381,515,589,529,574,723,903,1040,1141,1270,1410,1436,1342,1267,1237,1323,nan,1267,735,768,353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,753,1099,1248,1442,1656,1863,1862,1629,1220,405,109,nan,nan,nan,nan,nan,40,62,101,183,342,557,823,1081,1271,1466,1683,1947,1982,1861,1841,2088,1678,1426,nan,nan,nan,nan,95,139,216,338,457,650,973,1421,1779,1918,1910,1830,1885,1909,1492,1155,930,782,450,nan,nan,nan,nan,35,114,174,253,362,476,644,910,1164,1498,1800,1868,1944,2038,2062,1837,1860,1552,874,722,92,nan,nan,nan,15,92,140,210,318,419,612,893,1134,1396,1579,1843,2017,2194,2239,2242,2044,1791,1170,343,nan,nan,nan,nan,nan,nan,nan,nan,85,140,266,488,782
Dunstaffnage,,Dunstaffnage,FFMC27,FS0299,,56.45093,-5.46645,,ODD,2350,200,2000,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85,nan,160,nan,nan,264,nan,nan,341,nan,424,nan,nan,577,nan,nan,608,nan,nan,nan,657,nan,nan,631,nan,nan,595,nan,563,nan,595,nan,nan,677,nan,nan,654,nan,673,nan,566,nan,nan,498,nan,395,nan,nan,nan,nan,nan,17,nan,22,nan,nan,32,nan,53,79,112,170,241,382,476,549,511,567,609,652,610,551,599,532,nan,541,548,438,77,nan,18,nan,39,41,66,93,159,244,392,nan,487,578,683,628,564,644,751,876,960,942,1067,1050,913,848,642,159,nan,nan,65,123,181,183,291,405,560,nan,708,804,555,600,674,791,850,950,1107,1213,1199,932,485,268,388,nan,nan,nan,16,29,41,67,121,169,273,348,nan,429,nan,499,560,662,741,826,921,927,976,1192,1047,978,724,327,nan,nan,48,65,116,215,321,434,516,605,733,759,834,869,855,911,1089,1053,765,548,400,147,nan,nan,nan,19,60,95,145,242,397,550,720,922,1059,1137,1188,1130,896,953,792,648,175,nan,nan,nan,nan,nan,nan,nan,13,34,66,107,191,299,433,549,665,766,885,932,1215,1201,1137,778,424,330,173,35,nan,nan,nan,nan,nan,28,49,92,180,302,416,533,637,753,888,1041,1207,1287,1288,1163,1117,919,574,nan,nan,nan,nan,nan,65,110,194,286,482,687,926,1063,1163,1227,1260,1294,1226,746,381,50,nan,nan
Earnsaig,(NEVIS A),Nevis A,EAR1,FS0430,,57.01199,-5.7195,,ODD,1350,184,1109,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Tarbert Bay,,East Tarbert Bay,FFMC72,FS1010,,55.71621,-5.71563,,EVEN,2500,1108,0,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,14,nan,nan,20,nan,26,nan,39,nan,64,nan,93,nan,nan,145,nan,nan,221,nan,302,nan,nan,380,nan,nan,425,nan,nan,nan,461,nan,nan,525,nan,nan,422,nan,125,nan,139,nan,nan,140,nan,nan,138,nan,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31,49,78,125,175,251,308,406,169,191,232,nan,298,402,455,548,535,596,nan,580,423,nan,nan,nan,nan,nan,nan,nan,70,123,178,292,434,500,631,487,638,579,385,557,542,480,470,514,314,348,359,253,272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210,422,659,682,nan,572,490,396,222,222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,229,298,366,463,529,579,590,530,480,386,471,512,512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72,302,374,467,558,549,498,516,216,216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,151,165,196,237,293,362,409,489,328,181,132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,226,317,380,454,441,488,557,595,374,208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,171,232,241,287,376,419,495,494,244,40,nan,nan,nan,nan,nan,nan,nan,nan,237,287,332,366,165,nan,508,874,1108,1279,1399,1398,1482
Eilean a Mhadaidh,(Laxford Site 2),Loch Laxford,EAM1,FS0065,,58.39653,-5.08366,,ODD,590,180,631,Loch Duart Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138,nan,165,nan,nan,196,nan,nan,232,nan,nan,nan,258,nan,nan,295,nan,nan,326,nan,336,nan,334,nan,nan,287,nan,nan,285,nan,313,nan,216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,23,38,66,110,nan,185,151,210,282,367,403,nan,448,405,408,467,430,430,398,nan,383,320,288,296,108,nan,20,33,46,53,88,125,192,131,163,206,261,305,310,291,365,344,387,369,386,nan,374,320,405,405,229,84,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,176,nan,218,nan,302,321,355,364,393,405,405,290,148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79,127,208,262,322,345,365,403,411,416,452,421,415,302,164,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,177,239,284,334,350,345,345,337,370,431,441,319,302,273,243,173,24,5,6,6,nan,nan,nan,nan,nan,80,248,312,341,381,422,283,254,160,139,138,101,36,39,42,44,44,5,134,197,257,304,299,159,175,192,207,151,281,281,316,178,169,nan,nan,21,68,89,109,119,155,180,nan,153,216,302,357,372,423,502,565,568,453,643,631,487,117,nan,10
Eilean Fada Mor,,Fada,EFM1,FS0858,,58.01312,-5.4279,,EVEN,600,49,515,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,301,nan,400,nan,nan,448,nan,nan,485,nan,585,nan,nan,597,nan,nan,600,nan,nan,nan,619,nan,nan,589,nan,nan,542,nan,479,nan,368,nan,nan,222,nan,nan,nan,nan,13,nan,31,nan,nan,45,nan,60,nan,86,nan,nan,nan,122,nan,157,nan,nan,209,nan,257,312,343,382,482,559,511,574,545,553,598,347,311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,233,283,348,397,530,nan,578,568,492,457,552,487,377,248,252,177,nan,nan,nan,nan,nan,nan,nan,125,168,197,236,292,416,479,455,nan,490,596,581,552,326,362,381,345,77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,238,296,387,479,530,594,nan,590,nan,524,585,597,359,nan,nan,nan,nan,nan,8,21,39,63,93,145,183,240,289,404,455,488,546,597,555,421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,15,26,40,53,97,164,199,248,279,330,453,479,287,292,330,333,283,nan,10,17,25,49,89,136,242,313,285,328,403,431,460,487,539,552,551,565,574,545,428,16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,356,416,461,516,589,515,415,420,231,nan,nan,nan,nan,nan,nan,nan,23,49,57,93,164,231
Eilean Raineach,,Raineach,ELR1,FS1263,,57.87853,-6.73096,,EVEN,2200,1009,0,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107,1095,1436,1716,1732,1773,1588,1018,629,357,nan,nan,nan,nan,nan,nan,54,111,163,249,316,410,533,688,874,1217,1503,1776,1824,1189,332,175,nan,nan,nan,nan,nan,nan,152,232,nan,578,719,876,1042,1232,1343,939,1169,1401,1412,1439,1037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,214,513,760,1009,1112,1098,984,1199,1397,1264,1263,1289,1196,853,nan,nan,nan,nan,nan,nan,21,122,272,361,501,595,81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Erisort_ North Shore East,,North Shore,ERI4,FS1033,,58.117,-6.43013,NB39402295,ODD,2400,1624,0,Mowi Scotland Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,156,302,413,587,798,946,1069,1197,1246,1431,1572,1728,1558,1262,nan,nan,nan,59,87,144,222,312,576,743,904,1062,1396,1529,1677,1342,1099,584,667,673,355,nan,nan,nan,nan,nan,nan,158,247,372,558,823,1057,1223,1142,1351,1434,1379,1560,1525,1449,815,840,340,nan,nan,nan,nan,nan,nan,nan,187,381,526,803,1037,1459,1882,1624,1256,1472,1585,1645
Eughlam North,,Eughlam,EUG1,FS1233,,58.24694,-6.83874,NB16293925,EVEN,1856.8,126,1551,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,56,76,121,183,259,380,508,553,601,682,785,748,890,1037,1182,1468,1169,964,384,384,nan,nan,nan,46,67,135,229,391,597,865,1209,1339,1618,1475,1685,1733,1816,1605,1296,1021,967,795,414,414,nan,nan,nan,19,55,97,158,266,439,670,743,792,851,851,1184,1347,1506,1479,1350,1408,1251,1151,865,366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,671,768,848,788,1066,1268,1201,666,nan,nan,nan,nan,21,58,82,124,205,359,523,748,918,1073,1221,1358,1430,1413,1551,1652,1719,1677,1626,721,nan,nan,nan,nan,45,82,126,193,320,501,690
Eughlam South,,,EUGS1,,,58.24442,-6.83667,NB16293860,EVEN,1500,363,1300,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,48,73,109,173,321,497,710,909,1103,1279,1365,1319,1407,1283,1393,1457,1587,1546,1374,nan,nan,nan,nan,188,276,363,462,658,923,952
Fishnish A,,Fishnish (A),FFMC23,FS0427,,56.51708,-5.83657,,EVEN,975,393,1053,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1182,nan,1352,nan,nan,1147,nan,nan,1245,nan,399,nan,nan,nan,nan,nan,nan,nan,nan,nan,27,nan,nan,55,nan,nan,105,nan,144,nan,221,nan,nan,304,nan,nan,369,nan,498,nan,766,nan,nan,805,nan,979,nan,992,nan,nan,nan,1136,nan,1218,nan,nan,1238,nan,1140,1085,1188,1135,547,549,343,nan,nan,24,34,45,60,94,136,181,nan,289,362,396,515,579,675,nan,822,929,1096,1169,1104,1261,857,nan,754,404,nan,nan,39,58,107,155,244,344,480,711,868,538,621,666,649,624,589,672,776,879,828,939,653,nan,554,479,nan,nan,nan,39,59,71,121,162,256,343,444,553,597,nan,661,763,903,1028,1153,1278,1282,1295,1288,1235,nan,901,nan,614,65,nan,9,28,43,92,144,216,301,368,427,497,565,697,833,965,1077,1180,1287,1268,1092,826,274,165,nan,nan,nan,nan,nan,nan,19,53,96,142,208,278,338,394,478,547,659,779,924,1015,1201,1211,749,445,nan,7,29,60,85,151,223,338,493,601,781,848,953,1040,1123,1212,1265,1206,1026,802,384,nan,nan,32,51,77,115,202,310,341,440,769,830,805,853,884,970,974,973,940,333,nan,nan,nan,nan,nan,nan,nan,nan,65,75,116,203,205,212,369,475,636,772,915,945,967,1047,1053,1026,923,651,479,nan,nan,138,195,207,286,380,393,375,558,602,806
Fishnish B,,Fishnish (B),FFMC57,FS0694,,56.51844,-5.8186,,EVEN,975,246,685,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,781,nan,899,nan,nan,851,nan,nan,874,nan,518,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,nan,23,nan,nan,51,nan,53,nan,88,nan,nan,130,nan,nan,220,nan,267,nan,378,nan,nan,442,nan,457,nan,540,nan,nan,nan,632,nan,705,nan,nan,787,nan,671,704,711,nan,nan,nan,nan,nan,nan,12,33,39,48,75,113,160,nan,258,351,364,466,550,653,nan,788,933,1098,1113,1201,1188,936,nan,456,181,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,505,530,586,562,501,485,526,329,187,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,19,21,38,55,89,123,182,214,231,nan,246,280,336,387,462,577,625,608,565,506,nan,347,nan,351,70,nan,nan,10,28,34,54,91,136,185,217,240,255,300,339,389,484,541,638,707,823,843,718,733,586,89,nan,nan,nan,nan,nan,20,42,64,100,150,194,217,280,328,365,445,550,615,671,575,284,nan,nan,15,37,52,58,102,136,194,310,393,505,548,628,735,821,990,1066,1043,934,950,820,312,nan,nan,nan,19,27,48,79,97,139,267,296,370,412,436,475,548,740,891,951,973,728,417,417,261,nan,nan,nan,nan,nan,nan,nan,117,152,309,431,540,628,763,899,926,674,685,468,nan,nan,nan,nan,nan,72,107,113,156,200,246,201,279,381,506
Fiunary,,Fiunary,FIU1,FS0696,,56.55857,-5.92046,,EVEN,2156,392,2482,Scottish Sea Farms Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,nan,nan,60,nan,89,nan,131,nan,nan,190,nan,nan,272,nan,381,nan,590,nan,nan,797,nan,940,nan,1033,nan,nan,nan,1183,nan,1392,nan,nan,1553,nan,1569,1397,1620,1646,1625,1001,394,nan,nan,19,26,56,75,88,139,217,nan,351,434,575,774,772,947,nan,1104,1264,1382,1436,1455,1450,924,nan,483,347,52,nan,nan,24,60,94,112,159,312,473,652,829,927,1045,1088,852,1016,1195,1087,1137,953,282,65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29,62,105,185,318,503,690,819,1071,1200,1399,1573,1715,1909,2098,1868,1477,908,682,190,nan,nan,nan,30,64,109,214,245,370,635,657,664,1151,1310,1416,1457,1675,1903,2100,1765,1755,1705,1296,447,nan,nan,nan,25,74,96,145,279,434,610,832,1114,1330,1499,1702,1965,2164,2482,2223,2029,1639,1138,325,nan,nan,nan,nan,nan,nan,392,535,727,1070,1337
Furnace,,Furnace,FFMC45,FS0567,,56.15203,-5.16713,,ODD,450,134,0,The Scottish Salmon Company Ltd,REGULAR,GO,,,YES,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,460,nan,407,nan,nan,384,nan,nan,448,nan,nan,nan,474,nan,nan,465,nan,nan,395,nan,392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,231,259,365,389,421,468,385,393,276,313,346,267,482,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,253,292,329,366,429,nan,424,464,435,257,41,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350,438,106,276,444,297,170,170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,113,154,198,257,347,376,436,400,402,347,391,104,122,122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109,130,157,214,267,300,316,327,323,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,166,205,252,315,383,436,449,319,230,261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,357,412,446,388,134,nan,nan,nan,nan
